SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score,saps_precinct_mapped,saps_precinct_name,saps_robbery_with_aggravating_circumstances_q1_2026,saps_robbery_with_aggravating_circumstances_trend,saps_burglary_at_residential_premises_q1_2026,saps_burglary_at_residential_premises_trend,saps_theft_of_motor_vehicle_and_motorcycle_q1_2026,saps_theft_of_motor_vehicle_and_motorcycle_trend,saps_carjacking_q1_2026,saps_carjacking_trend,saps_truck_hijacking_q1_2026,saps_truck_hijacking_trend,lat,lon
PINETOWN,9,Theft,9,Theft:9,February,Tuesday,11,1064583.76,118287.08,0,0.0380952380952381,0.0988292156651385,0.0685,False,,,,,,,,,,,,-29.8142716,30.8581865
JANSEN PARK,5,Theft,5,Theft:5,November,Friday,17,1456276.96,291255.39,0,0.0,0.1364930722234208,0.0682,False,,,,,,,,,,,,-25.8570143,28.2083294
NEWTON PARK,13,Theft,12,Theft:12; Burglary:1,January,Wednesday,17,655330.88,50410.07,0,0.0761904761904762,0.059476881316766,0.0678,False,,,,,,,,,,,,-33.9455556,25.565
VAALPARK,6,Theft,5,Theft:5; Hijack:1,April,Friday,3,1346836.41,224472.74,0,0.0095238095238095,0.1259696493586391,0.0677,False,,,,,,,,,,,,-26.7755556,27.8488889
MOOINOOI,9,Theft,9,Theft:9,March,Wednesday,15,1049602.63,116622.51,0,0.0380952380952381,0.0973886822798232,0.0677,False,,,,,,,,,,,,-25.746944,27.556389
DALPARK,7,Theft,7,Theft:7,September,Saturday,18,1246914.01,178130.57,0,0.019047619047619,0.1163614587120838,0.0677,False,,,,,,,,,,,,-26.2486111,28.3072222
HYDE PARK,10,Theft,9,Theft:9; Armed Robbery:1,May,Friday,8,947311.38,105256.82,1,0.0476190476190476,0.0875527112515608,0.0676,False,,,,,,,,,,,,-26.1197222,28.0397222
BOSKRUIN,13,Theft,13,Theft:13,February,Friday,1,586409.89,45108.45,0,0.0761904761904762,0.0528496784926812,0.0645,False,,,,,,,,,,,,-26.0866887,27.951404
MEREBANK EAST,9,Theft,8,Theft:8; Hijack:1,April,Friday,9,974288.75,108254.31,0,0.0380952380952381,0.0901467613754836,0.0641,False,,,,,,,,,,,,-29.9435851,30.9588531
MELKBOSSTRAND,12,Theft,11,Theft:11; Burglary:1,December,Saturday,23,673753.29,56146.11,0,0.0666666666666666,0.0612483162247447,0.064,False,,,,,,,,,,,,-33.722222,18.445833
