STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score,lat,lon
Makhanda,Sarah Baartman District,Eastern Cape,58,Burglary at residential premises,43,Decreased,Robbery with aggravating circumstances:12; Burglary at residential premises:43; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.0928,-33.3116019,26.5343083
Nxuba,Chris Hani District,Eastern Cape,57,Burglary at residential premises,49,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:49; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0909,-32.1749997,25.6256774
Tonga,Ehlanzeni District,Mpumalanga,56,Burglary at residential premises,28,Increased,Robbery with aggravating circumstances:26; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.089,-25.6884368,31.785389
Vulindlela,Buffalo City District,Eastern Cape,54,Burglary at residential premises,38,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:38; Theft of motor vehicle and motorcycle:4; Carjacking:1; Truck hijacking:0,0.0851,-32.9219121,27.7124182
Paulpietersburg,Zululand District,KwaZulu-Natal,53,Burglary at residential premises,40,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:40; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0832,-27.4230037,30.8172546
Dimbaza,Buffalo City District,Eastern Cape,53,Burglary at residential premises,35,Decreased,Robbery with aggravating circumstances:16; Burglary at residential premises:35; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0832,-32.8325739,27.2061758
Acornhoek,Ehlanzeni District,Mpumalanga,53,Robbery with aggravating circumstances,28,Increased,Robbery with aggravating circumstances:28; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:2; Carjacking:3; Truck hijacking:0,0.0832,-24.5963122,31.0480811
Cloetesville,Cape Winelands District,Western Cape,51,Robbery with aggravating circumstances,35,Increased,Robbery with aggravating circumstances:35; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0793,-33.9225035,18.8554278
Beacon Bay,Buffalo City District,Eastern Cape,49,Burglary at residential premises,44,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:44; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0754,-32.9688239,27.9384686
Tokoza,Ekurhuleni District,Gauteng,47,Robbery with aggravating circumstances,26,Increased,Robbery with aggravating circumstances:26; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:4; Carjacking:1; Truck hijacking:0,0.0716,-26.3284249,28.1428221
Letsitele,Mopani District,Limpopo,46,Burglary at residential premises,32,Increased,Robbery with aggravating circumstances:13; Burglary at residential premises:32; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0696,-23.8938517,30.3923142
Saldanha,West Coast District,Western Cape,46,Burglary at residential premises,33,Decreased,Robbery with aggravating circumstances:13; Burglary at residential premises:33; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0696,-33.0093869,17.9396988
KwaMaqoma,Amathole District,Eastern Cape,46,Burglary at residential premises,36,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:36; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0696,-32.7770048,26.6355833
Heidedal,Mangaung District,Free State,43,Robbery with aggravating circumstances,28,Decreased,Robbery with aggravating circumstances:28; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0638,-29.1422996,26.2504572
Hennenman,Lejweleputswa District,Free State,42,Burglary at residential premises,35,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:35; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0619,-27.9790238,27.0275461
Montagu,Cape Winelands District,Western Cape,41,Burglary at residential premises,40,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:40; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.06,-33.7844951,20.1296832
Itsoseng,Ngaka Modiri Molema District,North West,40,Burglary at residential premises,20,Decreased,Robbery with aggravating circumstances:17; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:0,0.058,-26.0871397,25.8805423
Bethlehem,Thabo Mofutsanyana District,Free State,38,Burglary at residential premises,21,Decreased,Robbery with aggravating circumstances:12; Burglary at residential premises:21; Theft of motor vehicle and motorcycle:4; Carjacking:1; Truck hijacking:0,0.0542,-28.2311465,28.3087518
Huhudi,Dr Ruth Segomotsi Mompati District,North West,37,Burglary at residential premises,26,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0522,-26.9669577,24.7404931
Humansdorp,Sarah Baartman District,Eastern Cape,37,Burglary at residential premises,24,Decreased,Robbery with aggravating circumstances:12; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0522,-34.028049,24.7728845
Senwabarwana,Capricorn District,Limpopo,37,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0522,-23.2856866,29.1391903
