STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score,lat,lon
Ikageng,Dr Kenneth Kaunda District,North West,189,Burglary at residential premises,145,Decreased,Robbery with aggravating circumstances:41; Burglary at residential premises:145; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.3462,-26.7204122,27.0622932
Klerksdorp,Dr Kenneth Kaunda District,North West,184,Burglary at residential premises,106,Increased,Robbery with aggravating circumstances:59; Burglary at residential premises:106; Theft of motor vehicle and motorcycle:14; Carjacking:5; Truck hijacking:0,0.3366,-26.8640843,26.6632928
Meadowlands,Johannesburg District,Gauteng,175,Robbery with aggravating circumstances,102,Increased,Robbery with aggravating circumstances:102; Burglary at residential premises:41; Theft of motor vehicle and motorcycle:15; Carjacking:17; Truck hijacking:0,0.3191,-26.221465,27.899908
Randburg,Johannesburg District,Gauteng,172,Robbery with aggravating circumstances,70,Decreased,Robbery with aggravating circumstances:70; Burglary at residential premises:53; Theft of motor vehicle and motorcycle:33; Carjacking:12; Truck hijacking:4,0.3133,-26.0769539,27.997592
Diepsloot,Johannesburg District,Gauteng,172,Robbery with aggravating circumstances,94,Decreased,Robbery with aggravating circumstances:94; Burglary at residential premises:33; Theft of motor vehicle and motorcycle:24; Carjacking:21; Truck hijacking:0,0.3133,-25.9223044,28.0220673
Port Shepstone,Ugu District,KwaZulu-Natal,171,Burglary at residential premises,127,Increased,Robbery with aggravating circumstances:37; Burglary at residential premises:127; Theft of motor vehicle and motorcycle:4; Carjacking:2; Truck hijacking:1,0.3114,-30.7341165,30.4489104
Roodepan,Frances Baard District,Northern Cape,171,Burglary at residential premises,147,Increased,Robbery with aggravating circumstances:22; Burglary at residential premises:147; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.3114,-28.6722592,24.7304105
Richards Bay,King Cetshwayo District,KwaZulu-Natal,162,Burglary at residential premises,108,Decreased,Robbery with aggravating circumstances:42; Burglary at residential premises:108; Theft of motor vehicle and motorcycle:8; Carjacking:3; Truck hijacking:1,0.294,-28.7485259,32.0558157
Brixton,Johannesburg District,Gauteng,162,Robbery with aggravating circumstances,73,Decreased,Robbery with aggravating circumstances:73; Burglary at residential premises:49; Theft of motor vehicle and motorcycle:39; Carjacking:1; Truck hijacking:0,0.294,-26.1926574,27.9935526
Mogwase,Bojanala District,North West,160,Burglary at residential premises,84,Decreased,Robbery with aggravating circumstances:62; Burglary at residential premises:84; Theft of motor vehicle and motorcycle:10; Carjacking:4; Truck hijacking:0,0.2901,-25.2709395,27.2367264
Mthatha,OR Tambo District,Eastern Cape,157,Burglary at residential premises,87,Decreased,Robbery with aggravating circumstances:52; Burglary at residential premises:87; Theft of motor vehicle and motorcycle:11; Carjacking:7; Truck hijacking:0,0.2843,-31.5817701,28.7717992
Kwamhlanga,Nkangala District,Mpumalanga,157,Burglary at residential premises,82,Increased,Robbery with aggravating circumstances:56; Burglary at residential premises:82; Theft of motor vehicle and motorcycle:10; Carjacking:9; Truck hijacking:0,0.2843,-25.4337291,28.7156995
Welkom,Lejweleputswa District,Free State,156,Burglary at residential premises,85,Decreased,Robbery with aggravating circumstances:55; Burglary at residential premises:85; Theft of motor vehicle and motorcycle:13; Carjacking:3; Truck hijacking:0,0.2824,-27.973065,26.7366991
Philippi East,City of Cape Town District,Western Cape,150,Robbery with aggravating circumstances,117,Decreased,Robbery with aggravating circumstances:117; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:7; Carjacking:13; Truck hijacking:0,0.2708,-34.0104077,18.6068691
Hercules,Tshwane District,Gauteng,149,Burglary at residential premises,57,Decreased,Robbery with aggravating circumstances:39; Burglary at residential premises:57; Theft of motor vehicle and motorcycle:39; Carjacking:10; Truck hijacking:4,0.2689,-25.7191179,28.1489216
Kuilsrivier,City of Cape Town District,Western Cape,147,Burglary at residential premises,89,Decreased,Robbery with aggravating circumstances:39; Burglary at residential premises:89; Theft of motor vehicle and motorcycle:17; Carjacking:2; Truck hijacking:0,0.265,-33.9322744,18.6827791
Mabopane,Tshwane District,Gauteng,145,Burglary at residential premises,74,Increased,Robbery with aggravating circumstances:59; Burglary at residential premises:74; Theft of motor vehicle and motorcycle:5; Carjacking:7; Truck hijacking:0,0.2611,-25.5111414,28.0570729
Giyani,Mopani District,Limpopo,138,Burglary at residential premises,73,Decreased,Robbery with aggravating circumstances:59; Burglary at residential premises:73; Theft of motor vehicle and motorcycle:1; Carjacking:5; Truck hijacking:0,0.2476,-23.3133128,30.7157447
Kabega Park,Nelson Mandela District,Eastern Cape,137,Burglary at residential premises,90,Decreased,Robbery with aggravating circumstances:30; Burglary at residential premises:90; Theft of motor vehicle and motorcycle:16; Carjacking:1; Truck hijacking:0,0.2456,-33.9400485,25.4986019
Jabulani,Johannesburg District,Gauteng,131,Robbery with aggravating circumstances,58,Decreased,Robbery with aggravating circumstances:58; Burglary at residential premises:30; Theft of motor vehicle and motorcycle:20; Carjacking:23; Truck hijacking:0,0.234,-26.2481818,27.858599
Hartbeespoortdam,Bojanala District,North West,130,Burglary at residential premises,61,Decreased,Robbery with aggravating circumstances:33; Burglary at residential premises:61; Theft of motor vehicle and motorcycle:30; Carjacking:6; Truck hijacking:0,0.2321,-25.7249308,27.8714243
Langlaagte,Johannesburg District,Gauteng,127,Robbery with aggravating circumstances,81,Increased,Robbery with aggravating circumstances:81; Burglary at residential premises:29; Theft of motor vehicle and motorcycle:7; Carjacking:9; Truck hijacking:1,0.2263,-26.2081575,27.9839616
Cambridge,Buffalo City District,Eastern Cape,125,Burglary at residential premises,91,Decreased,Robbery with aggravating circumstances:24; Burglary at residential premises:91; Theft of motor vehicle and motorcycle:8; Carjacking:2; Truck hijacking:0,0.2224,-32.979348,27.8979554
Mpumalanga KZN,eThekwini District,KwaZulu-Natal,125,Robbery with aggravating circumstances,74,Decreased,Robbery with aggravating circumstances:74; Burglary at residential premises:40; Theft of motor vehicle and motorcycle:3; Carjacking:8; Truck hijacking:0,0.2224,-29.8141734,30.6364489
Thabong,Lejweleputswa District,Free State,125,Robbery with aggravating circumstances,59,Decreased,Robbery with aggravating circumstances:59; Burglary at residential premises:58; Theft of motor vehicle and motorcycle:4; Carjacking:4; Truck hijacking:0,0.2224,-27.9749514,26.7805159
Sandringham,Johannesburg District,Gauteng,124,Robbery with aggravating circumstances,60,Decreased,Robbery with aggravating circumstances:60; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:22; Carjacking:22; Truck hijacking:1,0.2205,-26.1365589,28.1184212
Eshowe,King Cetshwayo District,KwaZulu-Natal,121,Burglary at residential premises,80,Increased,Robbery with aggravating circumstances:36; Burglary at residential premises:80; Theft of motor vehicle and motorcycle:1; Carjacking:4; Truck hijacking:0,0.2147,-28.9024348,31.4569026
Vryheid,Zululand District,KwaZulu-Natal,115,Burglary at residential premises,81,Increased,Robbery with aggravating circumstances:32; Burglary at residential premises:81; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.2031,-27.7672526,30.7955049
Yeoville,Johannesburg District,Gauteng,113,Robbery with aggravating circumstances,82,Increased,Robbery with aggravating circumstances:82; Burglary at residential premises:5; Theft of motor vehicle and motorcycle:11; Carjacking:15; Truck hijacking:0,0.1992,-26.1833618,28.0623073
Qonce,Buffalo City District,Eastern Cape,108,Burglary at residential premises,64,Increased,Robbery with aggravating circumstances:44; Burglary at residential premises:64; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1896,-32.8713162,27.3914618
Bushbuckridge,Ehlanzeni District,Mpumalanga,103,Burglary at residential premises,51,Increased,Robbery with aggravating circumstances:42; Burglary at residential premises:51; Theft of motor vehicle and motorcycle:3; Carjacking:7; Truck hijacking:0,0.1799,-24.8459277,31.0609631
Harrismith,Thabo Mofutsanyana District,Free State,98,Burglary at residential premises,72,Increased,Robbery with aggravating circumstances:25; Burglary at residential premises:72; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1702,-28.2696747,29.1279789
Hebron,Bojanala District,North West,94,Burglary at residential premises,47,Decreased,Robbery with aggravating circumstances:36; Burglary at residential premises:47; Theft of motor vehicle and motorcycle:4; Carjacking:7; Truck hijacking:0,0.1625,-25.5494122,28.0172351
Sundumbili,Ilembe District,KwaZulu-Natal,94,Burglary at residential premises,69,Increased,Robbery with aggravating circumstances:25; Burglary at residential premises:69; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1625,-29.1352068,31.4023007
Bloemspruit,Mangaung District,Free State,92,Burglary at residential premises,58,Decreased,Robbery with aggravating circumstances:30; Burglary at residential premises:58; Theft of motor vehicle and motorcycle:3; Carjacking:1; Truck hijacking:0,0.1586,-29.1392486,26.2789712
Mount Road,Nelson Mandela District,Eastern Cape,90,Robbery with aggravating circumstances,56,Decreased,Robbery with aggravating circumstances:56; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:9; Carjacking:10; Truck hijacking:0,0.1547,-33.9549745,25.5948707
Paarl East,Cape Winelands District,Western Cape,89,Burglary at residential premises,47,Decreased,Robbery with aggravating circumstances:37; Burglary at residential premises:47; Theft of motor vehicle and motorcycle:4; Carjacking:1; Truck hijacking:0,0.1528,-33.7111737,18.9939042
Atlantis,City of Cape Town District,Western Cape,87,Burglary at residential premises,55,Stabilized,Robbery with aggravating circumstances:29; Burglary at residential premises:55; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:0,0.1489,-33.5648186,18.492981
Botshabelo,Mangaung District,Free State,86,Burglary at residential premises,53,Increased,Robbery with aggravating circumstances:31; Burglary at residential premises:53; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.147,-29.2364064,26.7163124
Goodwood,City of Cape Town District,Western Cape,85,Robbery with aggravating circumstances,37,Decreased,Robbery with aggravating circumstances:37; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:16; Carjacking:5; Truck hijacking:0,0.1451,-33.9088677,18.5618912
Katlehong,Ekurhuleni District,Gauteng,84,Robbery with aggravating circumstances,37,Decreased,Robbery with aggravating circumstances:37; Burglary at residential premises:34; Theft of motor vehicle and motorcycle:2; Carjacking:11; Truck hijacking:0,0.1431,-26.3150784,28.1570917
Elsies River,City of Cape Town District,Western Cape,83,Robbery with aggravating circumstances,38,Decreased,Robbery with aggravating circumstances:38; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:15; Carjacking:5; Truck hijacking:0,0.1412,-33.9245123,18.5645386
Joza,Sarah Baartman District,Eastern Cape,81,Burglary at residential premises,71,Increased,Robbery with aggravating circumstances:10; Burglary at residential premises:71; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1373,-33.2844301,26.5706692
Marikana,Bojanala District,North West,80,Burglary at residential premises,37,Increased,Robbery with aggravating circumstances:31; Burglary at residential premises:37; Theft of motor vehicle and motorcycle:10; Carjacking:2; Truck hijacking:0,0.1354,-25.7050041,27.4863218
Nongoma,Zululand District,KwaZulu-Natal,77,Burglary at residential premises,51,Stabilized,Robbery with aggravating circumstances:26; Burglary at residential premises:51; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.1296,-27.8987611,31.6470959
Mdantsane,Buffalo City District,Eastern Cape,77,Burglary at residential premises,58,Decreased,Robbery with aggravating circumstances:18; Burglary at residential premises:58; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.1296,-32.9490827,27.7757752
