STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score
Ficksburg,Thabo Mofutsanyana District,Free State,42,Burglary at residential premises,33,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:33; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0619
Ngangelizwe,OR Tambo District,Eastern Cape,42,Burglary at residential premises,26,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:4; Carjacking:2; Truck hijacking:0,0.0619
Town Hill,Umgungundlovu District,KwaZulu-Natal,42,Burglary at residential premises,32,Stabilized,Robbery with aggravating circumstances:6; Burglary at residential premises:32; Theft of motor vehicle and motorcycle:4; Carjacking:0; Truck hijacking:0,0.0619
Hennenman,Lejweleputswa District,Free State,42,Burglary at residential premises,35,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:35; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0619
Montagu,Cape Winelands District,Western Cape,41,Burglary at residential premises,40,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:40; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.06
Sakhile,Gert Sibande District,Mpumalanga,41,Burglary at residential premises,33,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:33; Theft of motor vehicle and motorcycle:3; Carjacking:1; Truck hijacking:0,0.06
Melmoth,King Cetshwayo District,KwaZulu-Natal,41,Robbery with aggravating circumstances,22,Decreased,Robbery with aggravating circumstances:22; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.06
Levubu,Vhembe District,Limpopo,41,Burglary at residential premises,28,Decreased,Robbery with aggravating circumstances:13; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.06
Whittlesea,Chris Hani District,Eastern Cape,41,Burglary at residential premises,30,Decreased,Robbery with aggravating circumstances:11; Burglary at residential premises:30; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.06
Gelvandale,Nelson Mandela District,Eastern Cape,41,Burglary at residential premises,25,Stabilized,Robbery with aggravating circumstances:11; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:3; Carjacking:2; Truck hijacking:0,0.06
Tseki,Thabo Mofutsanyana District,Free State,40,Burglary at residential premises,32,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:32; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.058
Sun City,Bojanala District,North West,40,Burglary at residential premises,22,Decreased,Robbery with aggravating circumstances:14; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:1,0.058
Jan Kempdorp,Frances Baard District,Northern Cape,40,Burglary at residential premises,33,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:33; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.058
