STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score
Nkandla,King Cetshwayo District,KwaZulu-Natal,29,Burglary at residential premises,22,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0368
Lamontville,eThekwini District,KwaZulu-Natal,29,Burglary at residential premises,14,Decreased,Robbery with aggravating circumstances:13; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0368
Nyoni,Ilembe District,KwaZulu-Natal,29,Burglary at residential premises,18,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0368
Reitz,Thabo Mofutsanyana District,Free State,29,Burglary at residential premises,22,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:1,0.0368
Ocean View,City of Cape Town District,Western Cape,29,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:5; Carjacking:0; Truck hijacking:0,0.0368
Riebeek West,West Coast District,Western Cape,29,Burglary at residential premises,26,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0368
Ladismith,Garden Route District,Western Cape,29,Burglary at residential premises,27,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0368
Mbizana,Alfred Nzo District,Eastern Cape,29,Burglary at residential premises,15,Stabilized,Robbery with aggravating circumstances:12; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:2; Truck hijacking:0,0.0368
Bhisho,Buffalo City District,Eastern Cape,29,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0368
Thabazimbi,Waterberg District,Limpopo,29,Burglary at residential premises,22,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0368
Chatty,Nelson Mandela District,Eastern Cape,28,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:1; Carjacking:2; Truck hijacking:0,0.0348
Kwanojoli,Sarah Baartman District,Eastern Cape,28,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0348
Maletswai,Joe Gqabi District,Eastern Cape,28,Burglary at residential premises,24,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0348
Centane,Amathole District,Eastern Cape,28,Burglary at residential premises,17,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0348
Middledrift,Amathole District,Eastern Cape,28,Burglary at residential premises,24,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0348
Sabie,Ehlanzeni District,Mpumalanga,28,Burglary at residential premises,15,Stabilized,Robbery with aggravating circumstances:12; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0348
Zele,Buffalo City District,Eastern Cape,28,Burglary at residential premises,22,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0348
Adelaide,Amathole District,Eastern Cape,28,Burglary at residential premises,25,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0348
Batho,Mangaung District,Free State,27,Robbery with aggravating circumstances,13,Increased,Robbery with aggravating circumstances:13; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0329
Madikwe,Bojanala District,North West,27,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0329
Keiskammahoek,Amathole District,Eastern Cape,27,Burglary at residential premises,22,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0329
Mutale,Vhembe District,Limpopo,27,Burglary at residential premises,19,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0329
Wedela,West Rand District,Gauteng,27,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:6; Carjacking:0; Truck hijacking:1,0.0329
Kwanokuthula,Garden Route District,Western Cape,26,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0309
Petrusburg,Xhariep District,Free State,26,Burglary at residential premises,21,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:21; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:1,0.0309
Meloding,Lejweleputswa District,Free State,26,Burglary at residential premises,15,Stabilized,Robbery with aggravating circumstances:11; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0309
Steve Vukile Tshwete,Amathole District,Eastern Cape,26,Burglary at residential premises,25,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0309
Qumrha,Amathole District,Eastern Cape,26,Burglary at residential premises,22,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0309
Sebayeng,Capricorn District,Limpopo,26,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0309
Ekhephinit,Joe Gqabi District,Eastern Cape,26,Burglary at residential premises,24,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0309
Jozini,Umkhanyakude District,KwaZulu-Natal,25,Burglary at residential premises,18,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.029
Flagstaff,OR Tambo District,Eastern Cape,25,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:11; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.029
Mogwadi,Capricorn District,Limpopo,25,Burglary at residential premises,21,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:21; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.029
Villa Nora,Waterberg District,Limpopo,25,Burglary at residential premises,20,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.029
Bloemhof,Dr Ruth Segomotsi Mompati District,North West,25,Burglary at residential premises,20,Increased,Robbery with aggravating circumstances:5; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.029
Danielskuil,ZF Mgcawu District,Northern Cape,25,Burglary at residential premises,22,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.029
Matsulu,Ehlanzeni District,Mpumalanga,25,Robbery with aggravating circumstances,12,Decreased,Robbery with aggravating circumstances:12; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:1; Carjacking:2; Truck hijacking:0,0.029
Wolseley,Cape Winelands District,Western Cape,24,Burglary at residential premises,19,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0271
Tseseng,Thabo Mofutsanyana District,Free State,24,Burglary at residential premises,20,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0271
Cala,Chris Hani District,Eastern Cape,24,Burglary at residential premises,22,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0271
St Helena Bay,West Coast District,Western Cape,24,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0271
Addo,Sarah Baartman District,Eastern Cape,24,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0271
Prince Albert,Central Karoo District,Western Cape,24,Burglary at residential premises,24,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0271
Richmond-Kzn,Umgungundlovu District,KwaZulu-Natal,24,Burglary at residential premises,20,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0271
Warrenton,Frances Baard District,Northern Cape,24,Burglary at residential premises,16,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0271
Emanguzi,Umkhanyakude District,KwaZulu-Natal,24,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0271
Ezibeleni,Chris Hani District,Eastern Cape,24,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0271
Bathurst,Sarah Baartman District,Eastern Cape,24,Burglary at residential premises,20,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0271
Winterton,Uthukela District,KwaZulu-Natal,24,Burglary at residential premises,20,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0271
Hilton-Kzn,Umgungundlovu District,KwaZulu-Natal,23,Burglary at residential premises,16,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:1,0.0251
Peddie,Amathole District,Eastern Cape,23,Burglary at residential premises,17,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0251
Kamhlushwa,Ehlanzeni District,Mpumalanga,23,Burglary at residential premises,21,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:21; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0251
Vrede,Thabo Mofutsanyana District,Free State,23,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0251
Piketberg,West Coast District,Western Cape,23,Burglary at residential premises,20,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0251
Sekhukhune,Sekhukhune District,Limpopo,23,Burglary at residential premises,12,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0251
Bandelierkop,Vhembe District,Limpopo,23,Burglary at residential premises,16,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0251
Hoedspruit,Mopani District,Limpopo,23,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:0,0.0251
Ganyesa,Dr Ruth Segomotsi Mompati District,North West,23,Burglary at residential premises,19,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0251
Mabeskraal,Bojanala District,North West,23,Burglary at residential premises,15,Increased,Robbery with aggravating circumstances:5; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:1; Carjacking:2; Truck hijacking:0,0.0251
Daggakraal,Gert Sibande District,Mpumalanga,23,Burglary at residential premises,17,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0251
Mokwakwaila,Mopani District,Limpopo,23,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:8; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0251
Tamara,Buffalo City District,Eastern Cape,22,Burglary at residential premises,20,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0232
De Aar,Pixley ka Seme District,Northern Cape,22,Burglary at residential premises,18,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0232
Newark,Ilembe District,KwaZulu-Natal,22,Robbery with aggravating circumstances,12,Increased,Robbery with aggravating circumstances:12; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0232
Dysselsdorp,Garden Route District,Western Cape,22,Burglary at residential premises,21,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:21; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0232
Maloti,Alfred Nzo District,Eastern Cape,22,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0232
Kinross,Gert Sibande District,Mpumalanga,22,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:3; Truck hijacking:0,0.0232
Siloam,Vhembe District,Limpopo,22,Burglary at residential premises,16,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0232
Sunrise View,Lejweleputswa District,Free State,22,Robbery with aggravating circumstances,15,Increased,Robbery with aggravating circumstances:15; Burglary at residential premises:7; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0232
Impendle,Umgungundlovu District,KwaZulu-Natal,22,Burglary at residential premises,18,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0232
Ventersburg,Lejweleputswa District,Free State,21,Burglary at residential premises,18,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0213
Cacadu,Chris Hani District,Eastern Cape,21,Burglary at residential premises,13,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0213
Bainsvlei,Mangaung District,Free State,21,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:5; Carjacking:0; Truck hijacking:0,0.0213
Tlokoeng,Joe Gqabi District,Eastern Cape,21,Burglary at residential premises,18,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0213
Lambertsbaai,West Coast District,Western Cape,21,Burglary at residential premises,20,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0213
Kranskop,Umzinyathi District,KwaZulu-Natal,21,Robbery with aggravating circumstances,10,Increased,Robbery with aggravating circumstances:10; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:2; Truck hijacking:0,0.0213
Nababeep,Namakwa District,Northern Cape,21,Burglary at residential premises,19,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0213
Vaalwater,Waterberg District,Limpopo,21,Burglary at residential premises,17,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0213
Boipatong,Sedibeng District,Gauteng,21,Robbery with aggravating circumstances,8,Increased,Robbery with aggravating circumstances:8; Burglary at residential premises:6; Theft of motor vehicle and motorcycle:5; Carjacking:1; Truck hijacking:1,0.0213
Magatle,Capricorn District,Limpopo,21,Burglary at residential premises,11,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0213
Darling,West Coast District,Western Cape,21,Burglary at residential premises,19,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0213
Saron,Cape Winelands District,Western Cape,20,Burglary at residential premises,18,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0193
New Hanover,Umgungundlovu District,KwaZulu-Natal,20,Burglary at residential premises,17,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0193
Fouriesburg,Thabo Mofutsanyana District,Free State,20,Burglary at residential premises,18,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0193
Madibogo,Ngaka Modiri Molema District,North West,20,Burglary at residential premises,16,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0193
MaXesibeni,Alfred Nzo District,Eastern Cape,20,Burglary at residential premises,14,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:2; Truck hijacking:0,0.0193
Camperdown,Umgungundlovu District,KwaZulu-Natal,20,Robbery with aggravating circumstances,11,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:6; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.0193
St Faiths,Ugu District,KwaZulu-Natal,20,Robbery with aggravating circumstances,10,Increased,Robbery with aggravating circumstances:10; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0193
Sekgosese,Mopani District,Limpopo,20,Robbery with aggravating circumstances,13,Increased,Robbery with aggravating circumstances:13; Burglary at residential premises:7; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0193
Allanridge,Lejweleputswa District,Free State,20,Burglary at residential premises,16,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0193
Senekal,Thabo Mofutsanyana District,Free State,20,Burglary at residential premises,14,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0193
Riversdale,Garden Route District,Western Cape,20,Burglary at residential premises,19,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0193
Tinmyne,Waterberg District,Limpopo,20,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0193
Ntabamhlophe,Uthukela District,KwaZulu-Natal,20,Burglary at residential premises,17,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0193
Hammarsdale,eThekwini District,KwaZulu-Natal,20,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0193
Tarlton,West Rand District,Gauteng,19,Burglary at residential premises,11,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0174
Uniondale,Garden Route District,Western Cape,19,Burglary at residential premises,19,Decreased,Robbery with aggravating circumstances:0; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0174
Napier,Overberg District,Western Cape,19,Burglary at residential premises,17,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0174
Riviersonderend,Overberg District,Western Cape,19,Burglary at residential premises,17,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0174
Driekop,Sekhukhune District,Limpopo,19,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0174
Groot-Drakenstein,Cape Winelands District,Western Cape,19,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0174
Boshof,Lejweleputswa District,Free State,19,Burglary at residential premises,17,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0174
Hoopstad,Lejweleputswa District,Free State,19,Burglary at residential premises,17,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0174
Rakgoadi,Sekhukhune District,Limpopo,19,Burglary at residential premises,12,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0174
Groot Brakrivier,Garden Route District,Western Cape,19,Burglary at residential premises,18,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0174
Lady Grey,Joe Gqabi District,Eastern Cape,19,Burglary at residential premises,18,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0174
Calitzdorp,Garden Route District,Western Cape,19,Burglary at residential premises,17,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0174
Ibisi,Harry Gwala District,KwaZulu-Natal,19,Burglary at residential premises,12,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0174
Swartruggens,Bojanala District,North West,18,Burglary at residential premises,12,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0155
Dewetsdorp,Mangaung District,Free State,18,Burglary at residential premises,16,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0155
Balfour TVL,Gert Sibande District,Mpumalanga,18,Burglary at residential premises,14,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0155
Verena,Nkangala District,Mpumalanga,18,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0155
Port St Johns,OR Tambo District,Eastern Cape,18,Robbery with aggravating circumstances,10,Increased,Robbery with aggravating circumstances:10; Burglary at residential premises:7; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0155
Brandfort,Lejweleputswa District,Free State,18,Burglary at residential premises,17,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0155
Villiers,Fezile Dabi District,Free State,18,Burglary at residential premises,13,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0155
Witpoort,Waterberg District,Limpopo,18,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0155
Hluhluwe,Umkhanyakude District,KwaZulu-Natal,18,Burglary at residential premises,11,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0155
Sulenkama,OR Tambo District,Eastern Cape,18,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:8; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0155
Punzana,Buffalo City District,Eastern Cape,17,Burglary at residential premises,16,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0135
Mooi River,Umgungundlovu District,KwaZulu-Natal,17,Burglary at residential premises,12,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0135
Tsomo,Chris Hani District,Eastern Cape,17,Burglary at residential premises,9,Stabilized,Robbery with aggravating circumstances:6; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:2; Truck hijacking:0,0.0135
Ottosdal,Ngaka Modiri Molema District,North West,17,Burglary at residential premises,11,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0135
Nottingham Road,Umgungundlovu District,KwaZulu-Natal,17,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:1,0.0135
Bonnievale,Cape Winelands District,Western Cape,17,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0135
Hopetown,Pixley ka Seme District,Northern Cape,17,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0135
