SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score
ASHLEY,9,Theft,9,Theft:9,January,Sunday,0,489965.57,54440.62,0,0.0380952380952381,0.04357592792886988,0.0408
AMALINDA,10,Theft,9,Theft:9; Burglary:1,September,Tuesday,7,389516.76,38951.68,0,0.047619047619047616,0.03391711952655359,0.0408
BENMORE GARDENS,5,Theft,5,Theft:5,June,Wednesday,14,884337.11,176867.42,0,0.0,0.08149732435144987,0.0407
BERGVLIET,11,Theft,11,Theft:11,October,Thursday,1,288519.28,26229.03,0,0.05714285714285714,0.024205552924253648,0.0407
HEUWELOORD,11,Theft,11,Theft:11,February,Tuesday,10,283878.27,25807.12,0,0.05714285714285714,0.023759289535137996,0.0405
NAHOON,10,Theft,8,Theft:8; Armed Robbery:1; Burglary:1,August,Saturday,8,377533.56,41948.17,1,0.047619047619047616,0.03276485666901812,0.0402
LAKESIDE,10,Theft,10,Theft:10,February,Friday,0,378069.2,37806.92,0,0.047619047619047616,0.032816361949494985,0.0402
FLORENTIA,6,Theft,6,Theft:6,December,Sunday,12,772049.93,128674.99,0,0.009523809523809525,0.07070017944095862,0.0401
RASLOUW AH,5,Theft,4,Theft:4; Burglary:1,April,Saturday,20,863715.11,172743.02,0,0.0,0.07951438451500414,0.0398
OAKDENE,8,Theft,5,Theft:5; Attempted Theft:1; Burglary:1; Hijack:1,January,Saturday,14,561039.43,70129.93,0,0.02857142857142857,0.05041014324862382,0.0395
FLAMWOOD,11,Theft,10,Theft:10; Burglary:1,November,Wednesday,8,251702.47,22882.04,0,0.05714285714285714,0.020665376452531553,0.0389
RIDGEWAY,11,Theft,9,Theft:9; Armed Robbery:1; Burglary:1,September,Wednesday,12,244734.36,22248.58,0,0.05714285714285714,0.019995347216582773,0.0386
IMPALA PARK,9,Theft,6,Theft:6; Armed Robbery:1; Hijack:1; Accidental Loss:1,October,Wednesday,12,443256.06,49250.67,0,0.0380952380952381,0.039084503812884065,0.0386
STANDERTON,6,Theft,6,Theft:6,October,Tuesday,2,735676.15,122612.69,0,0.009523809523809525,0.0672026031940324,0.0384
PROTEA GLEN,10,Theft,9,Theft:9; Armed Robbery:1,June,Friday,0,341242.85,34124.28,0,0.047619047619047616,0.029275268144534614,0.0384
ROUXVILLE,9,Theft,9,Theft:9,September,Saturday,16,437320.63,48591.18,0,0.0380952380952381,0.03851377349606538,0.0383
RIDGEWORTH,7,Theft,7,Theft:7,April,Thursday,20,632336.57,90333.8,0,0.01904761904761905,0.057265828397040405,0.0382
HORIZON VIEW,5,Theft,5,Theft:5,February,Sunday,14,820432.01,164086.4,0,0.0,0.07535243207417089,0.0377
GLEN ASHLEY,7,Theft,6,Theft:6; Windscreen/ Motor glass damage:1,August,Thursday,1,623042.5,89006.07,0,0.01904761904761905,0.056372142932695775,0.0377
CHARLO,9,Theft,7,Theft:7; Burglary:2,August,Saturday,0,425267.8,47251.98,0,0.0380952380952381,0.037354815259768796,0.0377
MILL PARK,8,Theft,8,Theft:8,October,Saturday,13,517191.33,64648.92,0,0.02857142857142857,0.046193862371771165,0.0374
KLOOFENDAL,8,Theft,7,Theft:7; Armed Robbery:1,January,Friday,3,516676.0,64584.5,0,0.02857142857142857,0.04614431003029528,0.0374
WATERKLOOF HEIGHTS,6,Theft,6,Theft:6,August,Tuesday,1,706657.19,117776.2,0,0.009523809523809525,0.0644122408724232,0.037
CROSSMOOR,8,Theft,5,Theft:5; Hijack:3,April,Thursday,21,504125.55,63015.69,0,0.02857142857142857,0.044937502384561595,0.0368
ROBIN HILLS,6,Theft,6,Theft:6,August,Wednesday,11,698168.08,116361.35,0,0.009523809523809525,0.06359595756357975,0.0366
DENNEOORD,5,Theft,5,Theft:5,May,Wednesday,4,794592.96,158918.59,0,0.0,0.07286783884456596,0.0364
PETERVALE,8,Theft,7,Theft:7; Burglary:1,July,Monday,22,496485.37,62060.67,0,0.02857142857142857,0.044202849233576445,0.0364
OAKDALE,10,Theft,9,Theft:9; Attempted Theft:1,November,Friday,5,290668.32,29066.83,0,0.047619047619047616,0.024412197140436135,0.036
CARLETONVILLE,10,Theft,9,Theft:9; Hijack:1,November,Sunday,0,291100.65,29110.06,0,0.047619047619047616,0.02445376849042598,0.036
MURRAYFIELD,5,Theft,5,Theft:5,March,Friday,14,786401.61,157280.32,0,0.0,0.07208018710228735,0.036
PARKWOOD,8,Theft,7,Theft:7; Armed Robbery:1,October,Thursday,20,483461.45,60432.68,0,0.02857142857142857,0.04295051435845851,0.0358
SILVER LAKES GOLF ESTATE,9,Theft,9,Theft:9,July,Friday,17,382812.96,42534.77,0,0.0380952380952381,0.03327250542144425,0.0357
CULLINAN,10,Theft,10,Theft:10,June,Sunday,9,284112.36,28411.24,0,0.047619047619047616,0.023781798815824328,0.0357
CAPE TOWN,10,Theft,10,Theft:10,October,Saturday,19,282582.74,28258.27,0,0.047619047619047616,0.023634715873693396,0.0356
RETREAT,10,Theft,10,Theft:10,November,Wednesday,3,280786.96,28078.7,0,0.047619047619047616,0.023462039911153757,0.0355
HAZEL PARK,5,Theft,3,Theft:3; Burglary:1; Armed Robbery:1,September,Saturday,17,773260.8,154652.16,0,0.0,0.07081661249108746,0.0354
BAYSVILLE,8,Theft,8,Theft:8,December,Monday,18,469017.25,58627.16,0,0.02857142857142857,0.04156161029553594,0.0351
HELIKON PARK,6,Theft,4,Theft:4; Armed Robbery:2,November,Wednesday,11,667936.88,111322.81,0,0.009523809523809525,0.06068903045740394,0.0351
NEW GERMANY,8,Theft,8,Theft:8,May,Wednesday,2,467596.02,58449.5,0,0.02857142857142857,0.04142494975903358,0.035
ROBERTSHAM,6,Theft,6,Theft:6,August,Friday,14,664634.78,110772.46,0,0.009523809523809525,0.0603715119997409,0.0349
MBOMBELA CENTRAL,11,Theft,11,Theft:11,April,Friday,10,166411.83,15128.35,0,0.05714285714285714,0.012464124986526786,0.0348
RIETFONTEIN,8,Theft,7,Theft:7; Burglary:1,June,Wednesday,20,464444.36,58055.54,0,0.02857142857142857,0.041121897088830274,0.0348
RAVENSWOOD,7,Theft,7,Theft:7,June,Thursday,3,560188.27,80026.9,0,0.01904761904761905,0.050328298661717154,0.0347
WITFIELD,10,Theft,9,Theft:9; Burglary:1,April,Sunday,2,263941.79,26394.18,0,0.047619047619047616,0.021842266918975485,0.0347
SHARONLEA,6,Theft,6,Theft:6,July,Wednesday,1,656333.71,109388.95,0,0.009523809523809525,0.05957330996365688,0.0345
PAROW NORTH,10,Theft,8,Theft:8; Burglary:1; Armed Robbery:1,May,Wednesday,20,256589.95,25659.0,0,0.047619047619047616,0.02113533954009977,0.0344
LEPHALALE,10,Theft,10,Theft:10,February,Friday,3,257212.47,25721.25,0,0.047619047619047616,0.0211951988993755,0.0344
BERARIO,9,Theft,8,Theft:8; Armed Robbery:1,December,Monday,14,354032.9,39336.99,0,0.0380952380952381,0.030505114893401485,0.0343
SIR LOWRYS PASS,9,Theft,9,Theft:9,May,Monday,0,354472.42,39385.82,0,0.0380952380952381,0.03054737760879837,0.0343
REDFERN,8,Theft,8,Theft:8,December,Friday,19,452585.71,56573.21,0,0.02857142857142857,0.03998161052635006,0.0343
FYNNLANDS,9,Theft,8,Theft:8; Burglary:1,August,Monday,13,349205.5,38800.61,0,0.0380952380952381,0.03004092888979087,0.0341
MARIANNHILL,5,Hijack,3,Hijack:3; Theft:2,February,Friday,10,746527.52,149305.5,0,0.0,0.06824603321309029,0.0341
BEREA WEST,9,Theft,7,Theft:7; Burglary:1; Armed Robbery:1,February,Wednesday,0,348653.36,38739.26,0,0.0380952380952381,0.029987837026669198,0.034
HARTSWATER,10,Theft,10,Theft:10,January,Sunday,12,247502.1,24750.21,0,0.047619047619047616,0.02026148347411959,0.0339
LINDHAVEN,10,Theft,8,Theft:8; Stolen and recovered:1; Attempted Theft:1,September,Wednesday,18,242423.17,24242.32,0,0.047619047619047616,0.01977311122004534,0.0337
SANDTON,6,Theft,6,Theft:6,January,Thursday,19,635997.69,105999.62,0,0.009523809523809525,0.05761786896992413,0.0336
VALMARY PARK,6,Theft,5,Theft:5; Burglary:1,October,Sunday,18,631494.03,105249.0,0,0.009523809523809525,0.05718481267937001,0.0334
NORTHDALE,8,Theft,7,Theft:7; Armed Robbery:1,May,Sunday,10,432871.61,54108.95,0,0.02857142857142857,0.038085971197978685,0.0333
KILNER PARK,7,Theft,7,Theft:7,December,Sunday,13,531286.44,75898.06,0,0.01904761904761905,0.047549199153755654,0.0333
BEDFORD GARDENS,5,Theft,5,Theft:5,November,Friday,13,730248.78,146049.76,0,0.0,0.06668072616076064,0.0333
IFAFI,7,Theft,7,Theft:7,September,Friday,23,530171.5,75738.79,0,0.01904761904761905,0.047441990398967245,0.0332
HUMEWOOD,11,Theft,8,Theft:8; Attempted Theft:1; Burglary:1; Windscreen/ Motor glass damage:1,April,Friday,4,133458.93,12132.63,0,0.05714285714285714,0.009295488669175803,0.0332
KING WILLIAM'S TOWN,10,Theft,8,Theft:8; Armed Robbery:2,September,Friday,1,229160.91,25462.32,1,0.047619047619047616,0.018497858399014376,0.0331
ERASMUSRAND,7,Theft,7,Theft:7,September,Wednesday,0,524946.6,74992.37,0,0.01904761904761905,0.0469395821770952,0.033
SOUTHERNWOOD,9,Theft,8,Theft:8; Glass Damage:1,August,Thursday,14,315201.79,35022.42,0,0.0380952380952381,0.026771250335530978,0.0324
BELA-BELA,11,Theft,11,Theft:11,February,Monday,2,114520.71,10410.97,0,0.05714285714285714,0.007474455264589782,0.0323
NATURENA,7,Theft,6,Theft:6; Hijack:1,April,Thursday,8,503641.79,71948.83,0,0.01904761904761905,0.044890985704546124,0.032
ORMONDE,5,Theft,5,Theft:5,April,Thursday,16,700277.9,140055.58,0,0.0,0.06379883052089379,0.0319
PARKDENE,8,Theft,8,Theft:8,December,Thursday,7,403067.85,50383.48,0,0.02857142857142857,0.03522014523639071,0.0319
BELLAIR,8,Theft,8,Theft:8,June,Tuesday,17,400592.52,50074.06,0,0.02857142857142857,0.03498212610801571,0.0318
SOUTHERN PAARL,9,Theft,8,Theft:8; Windscreen/ Motor glass damage:1,May,Friday,10,301668.42,33518.71,0,0.0380952380952381,0.02546992851929786,0.0318
FREEWAY PARK,9,Theft,8,Theft:8; Burglary:1,May,Tuesday,4,299510.76,33278.97,0,0.0380952380952381,0.025262455433879113,0.0317
BLOEMFONTEIN CENTRAL,11,Theft,11,Theft:11,October,Monday,11,98086.28,8916.93,0,0.05714285714285714,0.005894177603049749,0.0315
UNIVERSITAS,8,Theft,6,Theft:6; Burglary:1; Attempted Theft:1,December,Sunday,0,385860.49,48232.56,0,0.02857142857142857,0.03356554531281091,0.0311
OTTERY,10,Theft,10,Theft:10,August,Saturday,13,180222.41,18022.24,0,0.047619047619047616,0.013792102352758018,0.0307
JEFFREY'S BAY,8,Theft,8,Theft:8,January,Saturday,18,375843.37,46980.42,0,0.02857142857142857,0.03260233387384005,0.0306
CASTLE HILL,6,Theft,3,Theft:3; Burglary:1; Hijack:1; Stolen and recovered:1,May,Sunday,13,570077.6,95012.93,0,0.009523809523809525,0.05127922225849523,0.0304
BLACKHEATH,5,Theft,4,Theft:4; Windscreen/ Motor glass damage:1,April,Wednesday,8,665989.6,133197.92,0,0.0,0.06050178678148919,0.0303
DURBANVILLE HILLS,7,Theft,7,Theft:7,March,Saturday,9,466500.91,66642.99,0,0.01904761904761905,0.04131964778811465,0.0302
FLAMINGO VLEI,8,Theft,7,Theft:7; Burglary:1,December,Saturday,13,363983.38,45497.92,0,0.02857142857142857,0.03146191846161778,0.03
DELMAS,9,Theft,7,Theft:7; Hijack:1; Armed Robbery:1,April,Tuesday,0,262953.79,29217.09,0,0.0380952380952381,0.0217472642733345,0.0299
ZONNEBLOEM,10,Theft,10,Theft:10,December,Friday,5,162672.08,16267.21,0,0.047619047619047616,0.012104523626166595,0.0299
CENTURY CITY,9,Theft,9,Theft:9,November,Saturday,17,260783.44,28975.94,0,0.0380952380952381,0.021538570961627104,0.0298
ERASMUS,6,Theft,5,Theft:5; Hijack:1,September,Tuesday,3,557042.46,92840.41,0,0.009523809523809525,0.050025808507178825,0.0298
STRANDFONTEIN,8,Theft,8,Theft:8,October,Tuesday,7,357966.24,44745.78,0,0.02857142857142857,0.03088333119522892,0.0297
KENRIDGE,7,Theft,7,Theft:7,September,Saturday,13,439561.02,62794.43,0,0.01904761904761905,0.038729201610708704,0.0289
NAHOON VALLEY PARK,8,Theft,8,Theft:8,February,Thursday,11,336674.07,42084.26,0,0.02857142857142857,0.028835950141142295,0.0287
PROTEA VALLEY,6,Theft,6,Theft:6,April,Sunday,2,532290.0,88715.0,0,0.009523809523809525,0.04764569799490897,0.0286
MAGALIESBURG,6,Theft,5,Theft:5; Armed Robbery:1,March,Saturday,21,532996.79,88832.8,0,0.009523809523809525,0.04771366046445613,0.0286
LA LUCIA,9,Theft,9,Theft:9,June,Tuesday,17,233368.31,25929.81,0,0.0380952380952381,0.01890242735778955,0.0285
BAKOVEN,8,Theft,8,Theft:8,January,Monday,11,329836.39,41229.55,0,0.02857142857142857,0.028178462600609463,0.0284
TONGAAT,9,Theft,6,Theft:6; Hijack:1; Armed Robbery:1; Burglary:1,February,Saturday,8,229182.18,28647.77,1,0.0380952380952381,0.018499903648278325,0.0283
LAMBTON,8,Theft,6,Theft:6; Armed Robbery:1; Burglary:1,June,Saturday,0,322286.29,40285.79,0,0.02857142857142857,0.027452471229299752,0.028
VEREENIGING,7,Theft,5,Theft:5; Hijack:1; Burglary:1,March,Wednesday,12,418590.07,59798.58,0,0.01904761904761905,0.03671270795523827,0.0279
HALFWAY HOUSE,9,Theft,6,Theft:6; Hijack:3,March,Sunday,6,220237.23,27529.65,1,0.0380952380952381,0.01763978834956748,0.0279
WOODLANDS,8,Theft,7,Theft:7; Armed Robbery:1,December,Wednesday,14,312788.39,39098.55,0,0.02857142857142857,0.026539186180682853,0.0276
REMBRANDTPARK,7,Theft,6,Theft:6; Armed Robbery:1,May,Wednesday,10,405859.57,57979.94,0,0.01904761904761905,0.03548858732737132,0.0273
TERENURE,8,Theft,8,Theft:8,January,Monday,2,305964.25,38245.53,0,0.02857142857142857,0.025883000599484004,0.0272
KRAMERVILLE,5,Theft,4,Theft:4; Hijack:1,December,Monday,8,599523.32,119904.66,0,0.0,0.054110620338255984,0.0271
NYANGA,7,Theft,6,Theft:6; Hijack:1,March,Friday,19,401847.8,57406.83,0,0.01904761904761905,0.0351028294693722,0.0271
ONRUS RIVER,9,Theft,9,Theft:9,May,Friday,13,200039.62,22226.62,0,0.0380952380952381,0.01569765638031162,0.0269
RANGEVIEW,8,Theft,8,Theft:8,November,Tuesday,14,295167.87,36895.98,0,0.02857142857142857,0.02484485822767691,0.0267
LEVALLIA,9,Theft,9,Theft:9,August,Monday,12,190992.46,21221.38,0,0.0380952380952381,0.014827712923290078,0.0265
HEUWELSIG,8,Theft,8,Theft:8,February,Thursday,0,289035.77,36129.47,0,0.02857142857142857,0.02425521680729728,0.0264
MAKHADO,7,Theft,7,Theft:7,December,Tuesday,23,385320.12,55045.73,0,0.01904761904761905,0.03351358521197587,0.0263
DEVIL`S PEAK ESTATE,8,Theft,8,Theft:8,April,Friday,3,287681.81,35960.23,0,0.02857142857142857,0.02412502472015956,0.0263
BOKSBURG NORTH,9,Theft,7,Theft:7; Armed Robbery:2,September,Friday,13,184139.49,23017.44,1,0.0380952380952381,0.014168755149506381,0.0261
RISIVILLE,7,Theft,7,Theft:7,January,Sunday,0,382488.32,54641.19,0,0.01904761904761905,0.03324128916751622,0.0261
PAREL VALLEI,7,Theft,7,Theft:7,September,Sunday,9,376910.95,53844.42,0,0.01904761904761905,0.032704988655655236,0.0259
UPINGTON,8,Theft,8,Theft:8,October,Thursday,9,274762.67,34345.33,0,0.02857142857142857,0.02288276512561881,0.0257
CARLSWALD NORTH ESTATE,6,Theft,5,Theft:5; Hijack:1,August,Thursday,1,471216.49,78536.08,0,0.009523809523809525,0.04177308156921962,0.0256
NORTHERN PAARL,6,Theft,6,Theft:6,March,Saturday,4,456012.96,76002.16,0,0.009523809523809525,0.04031116297298271,0.0249
PHOENIX INDUSTRIAL,7,Theft,7,Theft:7,May,Wednesday,3,349548.01,49935.43,0,0.01904761904761905,0.030073863460801493,0.0246
THERESAPARK,8,Theft,8,Theft:8,October,Friday,10,250241.63,31280.2,0,0.02857142857142857,0.020524907156116396,0.0245
MALMESBURY,9,Theft,8,Theft:8; Burglary:1,September,Friday,2,149438.01,16604.22,0,0.0380952380952381,0.010831981457545166,0.0245
MILNERTON RIDGE,6,Theft,4,Theft:4; Armed Robbery:2,May,Friday,4,444341.73,74056.96,0,0.009523809523809525,0.03918889806621711,0.0244
DEL JUDOR,5,Theft,5,Theft:5,April,Friday,23,540472.6,108094.52,0,0.0,0.04843250836760321,0.0242
KWADUKUZA,8,Theft,8,Theft:8,January,Tuesday,14,240544.85,30068.11,0,0.02857142857142857,0.01959249849802067,0.0241
VAN RIEBEECKPARK,8,Theft,7,Theft:7; Armed Robbery:1,November,Friday,3,239886.51,34269.5,1,0.02857142857142857,0.01952919481205783,0.0241
SHERE,5,Theft,4,Theft:4; Armed Robbery:1,August,Wednesday,12,533307.11,106661.42,0,0.0,0.047743499756961495,0.0239
PHALABORWA,8,Theft,8,Theft:8,June,Friday,2,237586.65,29698.33,0,0.02857142857142857,0.019308048268936503,0.0239
CENTURION RURAL,5,Theft,5,Theft:5,December,Wednesday,12,525150.41,105030.08,0,0.0,0.046959179838237,0.0235
NORTHGATE,9,Theft,8,Theft:8; Attempted Hijack:1,February,Wednesday,14,124669.44,13852.16,0,0.0380952380952381,0.008450321863674821,0.0233
HELENA HEIGHTS,5,Theft,5,Theft:5,July,Thursday,19,521579.44,104315.89,0,0.0,0.04661580777598539,0.0233
FRANSCHHOEK,8,Theft,8,Theft:8,June,Saturday,0,221905.93,27738.24,0,0.02857142857142857,0.017800244741046335,0.0232
MOUNT CROIX,8,Theft,8,Theft:8,October,Wednesday,16,223097.6,27887.2,0,0.02857142857142857,0.01791483158591576,0.0232
PIET RETIEF,5,Theft,5,Theft:5,April,Wednesday,1,516953.91,103390.78,0,0.0,0.046171032889860145,0.0231
ELANDSPARK,8,Theft,8,Theft:8,May,Friday,2,216156.53,27019.57,0,0.02857142857142857,0.017247402422373995,0.0229
SUNNYRIDGE,7,Theft,7,Theft:7,December,Monday,14,311939.22,44562.75,0,0.01904761904761905,0.026457532945258804,0.0228
HORISON,5,Theft,5,Theft:5,December,Saturday,3,508327.95,101665.59,0,0.0,0.045341590560717134,0.0227
WORCESTER,8,Theft,8,Theft:8,December,Wednesday,6,211573.84,26446.73,0,0.02857142857142857,0.016806746881733833,0.0227
PARADYSKLOOF,7,Theft,7,Theft:7,December,Saturday,2,307824.27,43974.9,0,0.01904761904761905,0.026061853657120788,0.0226
WAPADRAND,6,Theft,6,Theft:6,December,Sunday,15,408280.43,68046.74,0,0.009523809523809525,0.03572136880988795,0.0226
LAUDIUM,7,Theft,6,Theft:6; Armed Robbery:1,January,Friday,16,304227.42,43461.06,0,0.01904761904761905,0.025715993064029923,0.0224
EVERTON H C,7,Theft,6,Theft:6; Hijack:1,April,Thursday,4,304927.53,43561.08,0,0.01904761904761905,0.025783313207997243,0.0224
SELECTION PARK,5,Theft,3,Theft:3; Armed Robbery:2,July,Tuesday,20,503705.82,100741.16,0,0.0,0.044897142606773244,0.0224
BLUE HILLS,7,Theft,7,Theft:7,June,Wednesday,1,303175.41,43310.77,0,0.01904761904761905,0.0256148354392923,0.0223
UVONGO,6,Theft,6,Theft:6,August,Thursday,4,401842.59,66973.76,0,0.009523809523809525,0.03510232849388254,0.0223
STRATHAVON,5,Theft,5,Theft:5,June,Tuesday,15,500910.28,100182.06,0,0.0,0.044628333197871226,0.0223
KYALAMI GARDENS,8,Theft,6,Theft:6; Hijack:1; Armed Robbery:1,November,Monday,18,201136.06,28733.72,1,0.02857142857142857,0.01580308623940737,0.0222
NEWLANDS EAST,8,Theft,7,Theft:7; Burglary:1,June,Saturday,2,201377.39,25172.17,0,0.02857142857142857,0.015826291693326944,0.0222
NORKEM PARK,6,Theft,5,Theft:5; Stolen and recovered:1,October,Friday,16,393309.55,65551.59,0,0.009523809523809525,0.03428182102894292,0.0219
GEZINA,6,Theft,6,Theft:6,April,Wednesday,21,391641.1,65273.52,0,0.009523809523809525,0.034121388676595046,0.0218
AERORAND,8,Theft,7,Theft:7; Burglary:1,October,Friday,15,189718.19,23714.77,0,0.02857142857142857,0.014705183549544193,0.0216
MOSELEY PARK,5,Theft,5,Theft:5,January,Saturday,4,475083.65,95016.73,0,0.0,0.0421449342322935,0.0211
VERMONT,5,Theft,5,Theft:5,July,Saturday,5,476018.44,95203.69,0,0.0,0.04223482038929626,0.0211
WONDERBOOM SOUTH,5,Theft,5,Theft:5,November,Monday,11,472778.2,94555.64,0,0.0,0.04192325017420341,0.021
THEESCOMBE AH,8,Theft,8,Theft:8,June,Friday,0,174633.12,21829.14,0,0.02857142857142857,0.013254655655131809,0.0209
KAMMA HEIGHTS,5,Theft,3,Theft:3; Burglary:1; Armed Robbery:1,August,Saturday,4,470370.49,94074.1,0,0.0,0.04169173314997643,0.0208
MONTE VISTA,7,Theft,5,Theft:5; Collision:1; Burglary:1,December,Friday,3,268425.82,38346.55,0,0.01904761904761905,0.0222734356569649,0.0207
NELLMAPIUS,5,Hijack,2,Hijack:2; Theft:2; Armed Robbery:1,February,Monday,13,454801.22,90960.24,0,0.0,0.04019464626667805,0.0201
RUSTENBURG NORTH,7,Theft,7,Theft:7,October,Friday,14,257187.09,36741.01,0,0.01904761904761905,0.021192758446798205,0.0201
WATERFALL COUNTRY LIFESTYLE ESTATE,7,Theft,7,Theft:7,April,Monday,12,254792.22,36398.89,0,0.01904761904761905,0.020962476072338466,0.02
KATHU,8,Theft,8,Theft:8,February,Friday,10,151905.64,18988.21,0,0.02857142857142857,0.011069260180685917,0.0198
NORTHOME CONTENTSROFT,7,Theft,7,Theft:7,May,Wednesday,12,251295.03,35899.29,0,0.01904761904761905,0.02062619843842228,0.0198
THE DE DEUR ESTATES,5,Theft,5,Theft:5,January,Thursday,10,446918.95,89383.79,0,0.0,0.03943671458281514,0.0197
BETTY'S BAY,6,Theft,5,Theft:5; Burglary:1,December,Saturday,15,337576.65,56262.78,0,0.009523809523809525,0.02892273909650934,0.0192
RUGBY,5,Theft,4,Theft:4; Hijack:1,January,Saturday,7,433775.84,86755.17,0,0.0,0.03817291881161022,0.0191
SILVERFIELDS,5,Theft,5,Theft:5,September,Sunday,14,433973.34,86794.67,0,0.0,0.03819190972508602,0.0191
DIEP RIVER,7,Theft,7,Theft:7,July,Wednesday,15,236708.45,33815.49,0,0.01904761904761905,0.019223603609622827,0.0191
MAYVILLE,5,Theft,5,Theft:5,July,Tuesday,17,434203.58,86840.72,0,0.0,0.03821404880315523,0.0191
ELSIES RIVER INDUSTRIAL,5,Theft,3,Theft:3; Hijack:2,May,Friday,12,430832.55,86166.51,0,0.0,0.037889902276297814,0.0189
BROEDERSTROOM,6,Theft,4,Theft:4; Hijack:1; Armed Robbery:1,October,Friday,10,329500.94,54916.82,0,0.009523809523809525,0.02814620689465777,0.0188
BRIGHTON BEACH,6,Theft,6,Theft:6,March,Sunday,3,328590.28,54765.05,0,0.009523809523809525,0.028058640994577392,0.0188
WILKOPPIES,7,Theft,7,Theft:7,November,Saturday,22,227495.04,32499.29,0,0.01904761904761905,0.018337674130498235,0.0187
STEENBERG,8,Theft,8,Theft:8,December,Sunday,1,120889.22,15111.15,0,0.02857142857142857,0.00808682904879126,0.0183
GEORGE SOUTH,7,Theft,6,Theft:6; Burglary:1,September,Wednesday,21,216265.46,30895.07,0,0.01904761904761905,0.017257876752525485,0.0182
PELLISSIER,6,Theft,6,Theft:6,September,Friday,8,314718.52,52453.09,0,0.009523809523809525,0.02672478077221224,0.0181
DERDEPOORTPARK,5,Theft,4,Theft:4; Burglary:1,May,Wednesday,1,408847.0,81769.4,0,0.0,0.03577584821164991,0.0179
SONLAND PARK,5,Theft,5,Theft:5,September,Thursday,6,406692.45,81338.49,0,0.0,0.03556867417302058,0.0178
BARDENE,6,Theft,5,Theft:5; Stolen and recovered:1,December,Thursday,23,303062.68,50510.45,0,0.009523809523809525,0.025603995714349882,0.0176
SCOTTSVILLE,5,Theft,5,Theft:5,January,Thursday,19,396252.25,79250.45,0,0.0,0.03456478083190621,0.0173
JAMESTOWN,6,Theft,6,Theft:6,April,Tuesday,3,296867.19,49477.86,0,0.009523809523809525,0.025008258931918447,0.0173
MOSSEL BAY CENTRAL,7,Theft,7,Theft:7,October,Thursday,3,193602.92,27657.56,0,0.01904761904761905,0.015078725682743483,0.0171
MEER EN SEE,6,Theft,6,Theft:6,November,Thursday,17,293179.13,48863.19,0,0.009523809523809525,0.0246536279022801,0.0171
CAPITAL PARK,7,Theft,7,Theft:7,March,Friday,12,193339.5,27619.93,0,0.01904761904761905,0.015053396131210336,0.0171
BEZUIDENHOUT VALLEY,6,Theft,6,Theft:6,November,Monday,19,291248.44,48541.41,0,0.009523809523809525,0.024467979463097315,0.017
VANDERBIJLPARK C. C.,7,Theft,7,Theft:7,March,Sunday,0,189205.65,27029.38,0,0.01904761904761905,0.014655899484770073,0.0169
FLORIDA HILLS,6,Theft,5,Theft:5; Burglary:1,April,Saturday,0,287095.09,47849.18,0,0.009523809523809525,0.024068607764440454,0.0168
VANDERBIJLPARK N. E. 3,6,Theft,6,Theft:6,May,Tuesday,5,282721.57,47120.26,0,0.009523809523809525,0.023648065283910336,0.0166
BLOUBOSRAND,5,Theft,5,Theft:5,August,Sunday,12,381879.11,76375.82,0,0.0,0.033182709651573966,0.0166
MARLOTH PARK,8,Theft,8,Theft:8,March,Tuesday,0,83414.66,10426.83,0,0.02857142857142857,0.004483405623455448,0.0165
MINDALORE,5,Theft,5,Theft:5,July,Monday,14,376912.72,75382.54,0,0.0,0.03270515885270259,0.0164
CHARTWELL,8,Theft,8,Theft:8,December,Sunday,0,78467.73,9808.47,0,0.02857142857142857,0.0040077260305397076,0.0163
CLIFTON,7,Theft,7,Theft:7,November,Sunday,17,173511.64,24787.38,0,0.01904761904761905,0.013146818036676902,0.0161
ILLIONDALE,5,Theft,5,Theft:5,February,Sunday,0,370861.6,74172.32,0,0.0,0.03212330418763065,0.0161
DIE BOORD,6,Theft,4,Theft:4; Burglary:1; Attempted Theft:1,September,Sunday,17,272719.3,45453.22,0,0.009523809523809525,0.02268628176931981,0.0161
SWELLENDAM,7,Theft,7,Theft:7,February,Sunday,11,171854.94,24550.71,0,0.01904761904761905,0.012987515523485182,0.016
STRUBENVALE,7,Theft,7,Theft:7,September,Wednesday,0,171372.44,24481.78,0,0.01904761904761905,0.012941120000689863,0.016
ORANJEVILLE,5,Theft,5,Theft:5,June,Monday,12,369764.63,73952.93,0,0.0,0.03201782336557722,0.016
HONEYDEW RIDGE,6,Theft,5,Theft:5; Malicious Damage:1,October,Friday,16,265277.77,44212.96,0,0.009523809523809525,0.02197073011181298,0.0157
CENTURION GOLF ESTATE,7,Theft,6,Theft:6; Hijack:1,December,Tuesday,10,165253.47,23607.64,0,0.01904761904761905,0.012352741115469409,0.0157
SOUTHDALE,5,Theft,5,Theft:5,November,Wednesday,12,360494.01,72098.8,0,0.0,0.031126392771718706,0.0156
LANSDOWNE,7,Theft,7,Theft:7,May,Thursday,12,162483.41,23211.92,0,0.01904761904761905,0.012086381774797077,0.0156
NORTHPINE,6,Theft,6,Theft:6,September,Thursday,4,256783.38,42797.23,0,0.009523809523809525,0.021153939096523185,0.0153
