SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score
BANTRY BAY,16,Theft,16,Theft:16,December,Tuesday,15,576897.65,36056.1,0,0.10476190476190476,0.05193501455951122,0.0783
CARLSWALD AH,12,Theft,11,Theft:11; Armed Robbery:1,February,Saturday,17,970963.59,80913.63,0,0.06666666666666667,0.08982702554837876,0.0782
BORDEAUX,12,Theft,12,Theft:12,March,Saturday,3,966389.27,80532.44,0,0.06666666666666667,0.08938717483784389,0.078
BRACKENFELL SOUTH,13,Theft,12,Theft:12; Armed Robbery:1,November,Thursday,0,862303.85,66331.07,0,0.0761904761904762,0.07937868265904534,0.0778
LA MONTAGNE,9,Theft,9,Theft:9,February,Friday,15,1255212.07,139468.01,0,0.0380952380952381,0.11715937131703084,0.0776
WONDERBOOM,11,Theft,10,Theft:10; Hijack:1,December,Monday,14,1034746.59,94067.87,0,0.05714285714285714,0.09596017711408612,0.0766
ROBINDALE,11,Theft,8,Theft:8; Armed Robbery:3,November,Tuesday,13,1030071.43,93642.86,0,0.05714285714285714,0.09551062997967834,0.0763
GRASSY PARK,14,Theft,14,Theft:14,October,Tuesday,9,731348.38,52239.17,0,0.08571428571428572,0.066786459874472,0.0763
EVERTON,11,Theft,11,Theft:11,August,Friday,7,1024347.46,93122.5,0,0.05714285714285714,0.09496023292140948,0.0761
MOUNT EDGECOMBE,10,Theft,9,Theft:9; Attempted Theft:1,February,Monday,12,1123599.42,112359.94,0,0.047619047619047616,0.1045039563880624,0.0761
HIGHLANDS NORTH,13,Theft,13,Theft:13,April,Wednesday,19,816083.83,62775.68,0,0.0761904761904762,0.0749343261999571,0.0756
MELROSE,10,Theft,6,Theft:6; Hijack:3; Armed Robbery:1,August,Wednesday,9,1102327.25,110232.72,0,0.047619047619047616,0.10245849846445435,0.075
WINCHESTER HILLS,9,Theft,7,Theft:7; Hijack:1; Burglary:1,March,Sunday,2,1195678.4,132853.16,0,0.0380952380952381,0.11143482055314696,0.0748
NORTHWOLD,13,Theft,12,Theft:12; Armed Robbery:1,November,Wednesday,15,797447.22,61342.09,0,0.0761904761904762,0.07314229456455304,0.0747
HERMANUS,17,Theft,17,Theft:17,December,Wednesday,2,396350.53,23314.74,0,0.11428571428571428,0.034574231095077866,0.0744
GLENFERNESS AH,8,Theft,8,Theft:8,April,Friday,1,1280442.55,160055.32,0,0.02857142857142857,0.11958544657086882,0.0741
ATTERIDGEVILLE,7,Theft,6,Theft:6; Hijack:1,July,Saturday,14,1370873.44,195839.06,0,0.01904761904761905,0.1282809666089951,0.0737
MTHATHA CENTRAL,9,Theft,8,Theft:8; Armed Robbery:1,December,Tuesday,0,1172917.59,130324.18,0,0.0380952380952381,0.10924622018175856,0.0737
BENDOR,15,Theft,15,Theft:15,May,Wednesday,15,567920.93,37861.4,0,0.09523809523809523,0.05107184436803518,0.0732
KENSINGTON B,11,Theft,11,Theft:11,July,Friday,0,964817.85,87710.71,0,0.05714285714285714,0.08923607255301276,0.0732
VILLIERIA,13,Theft,11,Theft:11; Stolen and recovered:1; Burglary:1,December,Tuesday,16,757333.08,58256.39,0,0.0761904761904762,0.06928505830178704,0.0727
CHATSWORTH,8,Theft,7,Theft:7; Hijack:1,May,Friday,20,1252162.9,156520.36,0,0.02857142857142857,0.11686617372896492,0.0727
WITPOORTJIE,14,Theft,14,Theft:14,November,Monday,8,652964.1,46640.29,0,0.08571428571428572,0.05924929997906345,0.0725
ATLASVILLE,11,Theft,11,Theft:11,April,Wednesday,13,948252.93,86204.81,0,0.05714285714285714,0.08764324742666535,0.0724
KYALAMI AH,17,Theft,16,Theft:16; Armed Robbery:1,April,Friday,0,353148.44,20773.44,0,0.11428571428571428,0.030420068294248016,0.0724
NINAPARK,9,Theft,9,Theft:9,August,Saturday,20,1143110.34,127012.26,0,0.0380952380952381,0.10638005863390207,0.0722
DOUGLASDALE,10,Theft,10,Theft:10,June,Friday,4,1042745.14,104274.51,0,0.047619047619047616,0.0967292898785514,0.0722
VERWOERDPARK,7,Theft,5,Theft:5; Hijack:2,December,Tuesday,4,1335054.72,190722.1,0,0.01904761904761905,0.12483676300224043,0.0719
HALFWAY GARDENS,16,Theft,16,Theft:16,August,Sunday,17,414659.89,25916.24,0,0.10476190476190476,0.03633479550802644,0.0705
SONSTRAAL HEIGHTS,12,Theft,12,Theft:12,July,Thursday,17,787282.23,65606.85,0,0.06666666666666667,0.07216486446038893,0.0694
PARYS,10,Theft,9,Theft:9; Hijack:1,February,Sunday,0,985293.33,98529.33,0,0.047619047619047616,0.09120492353557252,0.0694
TSAKANE,5,Theft,4,Theft:4; Hijack:1,July,Monday,21,1477946.57,369486.64,1,0.0,0.13857674659589894,0.0693
WITBANK EXT,13,Theft,12,Theft:12; Hijack:1,May,Thursday,8,676788.47,52060.65,0,0.0761904761904762,0.06154016858304086,0.0689
PAROW,14,Theft,12,Theft:12; Hijack:1; Armed Robbery:1,November,Friday,11,576976.89,41212.64,0,0.08571428571428572,0.051942634002467285,0.0688
MONTFORD,11,Theft,11,Theft:11,November,Saturday,10,871331.6,79211.96,0,0.05714285714285714,0.08024675971793745,0.0687
PINETOWN,9,Theft,9,Theft:9,February,Tuesday,11,1064583.76,118287.08,0,0.0380952380952381,0.09882921566513854,0.0685
JANSEN PARK,5,Theft,5,Theft:5,November,Friday,17,1456276.96,291255.39,0,0.0,0.13649307222342089,0.0682
NEWTON PARK,13,Theft,12,Theft:12; Burglary:1,January,Wednesday,17,655330.88,50410.07,0,0.0761904761904762,0.059476881316766046,0.0678
VAALPARK,6,Theft,5,Theft:5; Hijack:1,April,Friday,3,1346836.41,224472.74,0,0.009523809523809525,0.12596964935863914,0.0677
MOOINOOI,9,Theft,9,Theft:9,March,Wednesday,15,1049602.63,116622.51,0,0.0380952380952381,0.09738868227982324,0.0677
DALPARK,7,Theft,7,Theft:7,September,Saturday,18,1246914.01,178130.57,0,0.01904761904761905,0.11636145871208385,0.0677
HYDE PARK,10,Theft,9,Theft:9; Armed Robbery:1,May,Friday,8,947311.38,105256.82,1,0.047619047619047616,0.08755271125156082,0.0676
ISIPINGO HILLS,7,Theft,6,Theft:6; Hijack:1,August,Saturday,16,1214975.21,173567.89,0,0.01904761904761905,0.11329033472564837,0.0662
BOSKRUIN,13,Theft,13,Theft:13,February,Friday,1,586409.89,45108.45,0,0.0761904761904762,0.05284967849268125,0.0645
MEREBANK EAST,9,Theft,8,Theft:8; Hijack:1,April,Friday,9,974288.75,108254.31,0,0.0380952380952381,0.09014676137548361,0.0641
