SUBURB,month,predicted_incidents,actual_incidents,absolute_error
TZANEEN,2025-06,1.63,1,0.63
TZANEEN,2025-07,1.64,1,0.64
TZANEEN,2025-08,1.66,1,0.66
TZANEEN,2025-10,1.67,1,0.67
UMHLANGA,2025-04,0.82,1,0.18
UMHLANGA,2025-06,0.76,1,0.24
UMHLANGA,2025-09,0.7,1,0.3
UMHLANGA,2025-10,0.64,1,0.36
UMHLANGA ROCKS,2025-11,1.33,1,0.33
UMHLANGA ROCKS,2026-02,1.36,1,0.36
UMHLANGA ROCKS,2026-03,1.38,1,0.38
UMKOMAAS,2026-02,1.0,1,0.0
UMKOMAAS,2026-03,1.0,1,0.0
UMKOMAAS,2026-05,1.0,1,0.0
VERULAM,2026-01,1.6,1,0.6
VERULAM,2026-06,1.63,1,0.63
VINCENT,2025-09,1.46,1,0.46
VINCENT,2025-10,1.51,1,0.51
VINCENT,2026-03,1.55,1,0.55
VORNA VALLEY,2026-03,1.09,1,0.09
VORNA VALLEY,2026-05,1.03,1,0.03
VOSLOORUS,2026-01,1.18,1,0.18
VOSLOORUS,2026-05,1.18,1,0.18
VREDEHOEK,2025-06,1.63,1,0.63
VREDEHOEK,2025-10,1.64,1,0.64
VREDEHOEK,2025-11,1.65,1,0.65
VREDEHOEK,2025-12,1.66,1,0.66
WALMER,2025-12,0.98,1,0.02
WALMER,2026-02,0.93,1,0.07
WALMER,2026-04,0.88,1,0.12
WALMER,2026-06,0.84,1,0.16
WATERKLOOF,2025-12,1.38,1,0.38
WATERKLOOF,2026-05,1.4,1,0.4
WATERKLOOF,2026-06,1.41,1,0.41
WATERKLOOF GLEN,2025-12,0.65,1,0.35
WATERKLOOF GLEN,2026-06,0.57,1,0.43
WATERKLOOF RIDGE,2025-11,2.82,3,0.18
WATERKLOOF RIDGE,2026-01,2.89,1,1.89
WATERKLOOF RIDGE,2026-03,2.95,2,0.95
WATERKLOOF RIDGE,2026-04,3.02,1,2.02
WAVERLEY,2025-12,1.17,1,0.17
WAVERLEY,2026-02,1.17,1,0.17
WELLINGTON,2026-03,1.65,1,0.65
WELTEVREDENPARK,2025-11,1.67,3,1.33
WELTEVREDENPARK,2026-01,1.68,1,0.68
WELTEVREDENPARK,2026-04,1.7,1,0.7
WENDYWOOD,2025-04,1.45,1,0.45
WENDYWOOD,2025-10,1.46,1,0.46
WEST ACRES,2026-05,1.35,1,0.35
WESTCLIFF,2025-12,1.24,1,0.24
WESTCLIFF,2026-05,1.27,1,0.27
WESTCLIFF,2026-06,1.29,1,0.29
WESTDENE,2025-09,1.66,1,0.66
WESTDENE,2025-11,1.69,2,0.31
WESTDENE,2026-01,1.72,1,0.72
WESTDENE,2026-03,1.75,1,0.75
WESTVILLE,2025-12,1.41,1,0.41
WESTVILLE,2026-01,1.43,1,0.43
WESTVILLE,2026-02,1.45,1,0.45
WIERDAPARK,2025-08,1.58,1,0.58
WIERDAPARK,2025-10,1.58,1,0.58
WIERDAPARK,2025-12,1.58,1,0.58
WILGEHEUWEL,2025-06,1.77,1,0.77
WILGEHEUWEL,2025-08,1.84,2,0.16
WILRO PARK,2024-12,1.53,1,0.53
WILRO PARK,2025-03,1.56,1,0.56
WINDERMERE,2025-09,0.89,1,0.11
WINDERMERE,2026-03,0.78,1,0.22
WINGATE PARK,2026-02,0.93,3,2.07
WINGATE PARK,2026-06,0.9,1,0.1
WITBANK EXT,2025-12,1.0,1,0.0
WITBANK EXT,2026-05,1.0,1,0.0
WOODHURST,2025-05,0.86,2,1.14
WOODHURST,2025-07,0.81,1,0.19
WOODHURST,2025-10,0.76,1,0.24
WOODMEAD,2026-04,1.36,1,0.36
WOODSTOCK,2026-01,1.51,1,0.51
WOODSTOCK,2026-06,1.5,1,0.5
WYNBERG,2025-08,1.12,1,0.12
WYNBERG,2025-09,1.1,3,1.9
WYNBERG,2025-10,1.08,1,0.08
WYNBERG,2025-11,1.06,2,0.94
WYNBERG,2026-02,1.03,1,0.03
